GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Student Bank Account Management,com.banking.studentbank.config,SecurityConfig,0,85,0,0,0,18,0,6,0,6
Student Bank Account Management,com.banking.studentbank.config,SwaggerConfig,0,31,0,0,0,11,0,2,0,2
Student Bank Account Management,com.banking.studentbank,StudentBankApplication,5,3,0,0,2,1,1,1,1,1
Student Bank Account Management,com.banking.studentbank.controller,UserController,19,0,0,0,3,0,2,0,2,0
Student Bank Account Management,com.banking.studentbank.controller,AuthController,17,14,0,0,3,2,2,2,2,2
Student Bank Account Management,com.banking.studentbank.controller,AuditLogController,37,0,0,0,4,0,2,0,2,0
Student Bank Account Management,com.banking.studentbank.controller,StatementController,101,0,0,0,21,0,5,0,5,0
Student Bank Account Management,com.banking.studentbank.controller,AccountController,102,78,1,1,18,16,11,7,10,7
Student Bank Account Management,com.banking.studentbank.exception,InvalidAccountOperationException,0,4,0,0,0,2,0,1,0,1
Student Bank Account Management,com.banking.studentbank.exception,AccountNotFoundException,4,5,0,0,2,2,1,1,1,1
Student Bank Account Management,com.banking.studentbank.exception,GlobalExceptionHandler,29,97,0,2,12,36,2,7,2,6
Student Bank Account Management,com.banking.studentbank.exception,InsufficientFundsException,0,19,0,0,0,4,0,2,0,2
Student Bank Account Management,com.banking.studentbank.model,Role,0,15,0,0,0,3,0,1,0,1
Student Bank Account Management,com.banking.studentbank.model,AuditLog,4,0,0,0,2,0,1,0,1,0
Student Bank Account Management,com.banking.studentbank.model,RefreshToken,5,0,0,0,1,0,1,0,1,0
Student Bank Account Management,com.banking.studentbank.model,AccountStatus,0,15,0,0,0,3,0,1,0,1
Student Bank Account Management,com.banking.studentbank.model,AuditStatus,0,15,0,0,0,3,0,1,0,1
Student Bank Account Management,com.banking.studentbank.model,BankAccount,4,0,0,0,2,0,1,0,1,0
Student Bank Account Management,com.banking.studentbank.model,Transaction,4,0,0,0,2,0,1,0,1,0
Student Bank Account Management,com.banking.studentbank.model,AccountType,0,15,0,0,0,3,0,1,0,1
Student Bank Account Management,com.banking.studentbank.model,TransactionType,0,21,0,0,0,4,0,1,0,1
Student Bank Account Management,com.banking.studentbank.service,TransactionService,168,0,8,0,33,0,13,0,9,0
Student Bank Account Management,com.banking.studentbank.service,ScheduledInterestService,118,4,8,0,30,1,7,1,3,1
Student Bank Account Management,com.banking.studentbank.service,AccountService,352,366,16,16,70,87,26,17,15,12
Student Bank Account Management,com.banking.studentbank.service,UserService,73,0,2,0,15,0,5,0,4,0
Student Bank Account Management,com.banking.studentbank.service,RefreshTokenService,87,0,2,0,19,0,7,0,6,0
Student Bank Account Management,com.banking.studentbank.service,AuthService,67,144,0,2,14,33,3,3,3,2
Student Bank Account Management,com.banking.studentbank.service,EmailService,164,4,2,0,34,1,7,1,6,1
Student Bank Account Management,com.banking.studentbank.service,PdfStatementService,368,0,6,0,49,0,5,0,2,0
Student Bank Account Management,com.banking.studentbank.service,AuditLogService,60,0,0,0,20,0,4,0,4,0
Student Bank Account Management,com.banking.studentbank.service,CsvExportService,283,4,12,0,41,1,9,1,3,1
Student Bank Account Management,com.banking.studentbank.security,JwtAuthenticationFilter,62,11,9,1,16,4,5,1,0,1
Student Bank Account Management,com.banking.studentbank.security,JwtUtil,111,3,4,0,25,1,13,1,11,1
Student Bank Account Management,com.banking.studentbank.security,RateLimitingFilter,21,68,4,2,4,20,3,6,0,6
Student Bank Account Management,com.banking.studentbank.security,CustomUserDetailsService,33,0,0,0,7,0,2,0,2,0
